X,CreatedWeekday,CreatedHour,RequestSource,count,daynum
1,Sun,0,Call,25,7
2,Sun,1,Call,12,7
3,Sun,2,Call,11,7
4,Sun,3,Call,8,7
5,Sun,4,Call,5,7
6,Sun,5,Call,16,7
7,Sun,6,Call,48,7
8,Sun,7,Call,226,7
9,Sun,8,Call,1289,7
10,Sun,9,Call,2017,7
11,Sun,10,Call,2253,7
12,Sun,11,Call,2451,7
13,Sun,12,Call,2397,7
14,Sun,13,Call,2378,7
15,Sun,14,Call,2291,7
16,Sun,15,Call,2226,7
17,Sun,16,Call,2048,7
18,Sun,17,Call,813,7
19,Sun,18,Call,639,7
20,Sun,19,Call,534,7
21,Sun,20,Call,360,7
22,Sun,21,Call,259,7
23,Sun,22,Call,214,7
24,Sun,23,Call,110,7
25,Mon,0,Call,49,1
26,Mon,1,Call,18,1
27,Mon,2,Call,19,1
28,Mon,3,Call,66,1
29,Mon,4,Call,29,1
30,Mon,5,Call,89,1
31,Mon,6,Call,522,1
32,Mon,7,Call,3964,1
33,Mon,8,Call,14082,1
34,Mon,9,Call,17325,1
35,Mon,10,Call,17677,1
36,Mon,11,Call,16155,1
37,Mon,12,Call,15172,1
38,Mon,13,Call,14022,1
39,Mon,14,Call,12958,1
40,Mon,15,Call,15048,1
41,Mon,16,Call,11751,1
42,Mon,17,Call,4143,1
43,Mon,18,Call,1839,1
44,Mon,19,Call,1392,1
45,Mon,20,Call,527,1
46,Mon,21,Call,325,1
47,Mon,22,Call,235,1
48,Mon,23,Call,168,1
49,Tues,0,Call,53,2
50,Tues,1,Call,19,2
51,Tues,2,Call,34,2
52,Tues,3,Call,13,2
53,Tues,4,Call,13,2
54,Tues,5,Call,62,2
55,Tues,6,Call,407,2
56,Tues,7,Call,3162,2
57,Tues,8,Call,12176,2
58,Tues,9,Call,14942,2
59,Tues,10,Call,14905,2
60,Tues,11,Call,14252,2
61,Tues,12,Call,13450,2
62,Tues,13,Call,12357,2
63,Tues,14,Call,12693,2
64,Tues,15,Call,13638,2
65,Tues,16,Call,11343,2
66,Tues,17,Call,3793,2
67,Tues,18,Call,1696,2
68,Tues,19,Call,1361,2
69,Tues,20,Call,646,2
70,Tues,21,Call,368,2
71,Tues,22,Call,269,2
72,Tues,23,Call,165,2
73,Wed,0,Call,85,3
74,Wed,1,Call,18,3
75,Wed,2,Call,9,3
76,Wed,3,Call,27,3
77,Wed,4,Call,21,3
78,Wed,5,Call,47,3
79,Wed,6,Call,373,3
80,Wed,7,Call,2874,3
81,Wed,8,Call,11610,3
82,Wed,9,Call,13658,3
83,Wed,10,Call,13778,3
84,Wed,11,Call,13284,3
85,Wed,12,Call,12403,3
86,Wed,13,Call,11588,3
87,Wed,14,Call,11803,3
88,Wed,15,Call,12846,3
89,Wed,16,Call,10433,3
90,Wed,17,Call,3328,3
91,Wed,18,Call,1688,3
92,Wed,19,Call,1102,3
93,Wed,20,Call,559,3
94,Wed,21,Call,311,3
95,Wed,22,Call,232,3
96,Wed,23,Call,179,3
97,Thurs,0,Call,52,4
98,Thurs,1,Call,21,4
99,Thurs,2,Call,18,4
100,Thurs,3,Call,14,4
101,Thurs,4,Call,14,4
102,Thurs,5,Call,58,4
103,Thurs,6,Call,337,4
104,Thurs,7,Call,2290,4
105,Thurs,8,Call,9306,4
106,Thurs,9,Call,11068,4
107,Thurs,10,Call,11053,4
108,Thurs,11,Call,10525,4
109,Thurs,12,Call,9925,4
110,Thurs,13,Call,9273,4
111,Thurs,14,Call,9097,4
112,Thurs,15,Call,10106,4
113,Thurs,16,Call,8534,4
114,Thurs,17,Call,3002,4
115,Thurs,18,Call,1400,4
116,Thurs,19,Call,936,4
117,Thurs,20,Call,454,4
118,Thurs,21,Call,260,4
119,Thurs,22,Call,191,4
120,Thurs,23,Call,174,4
121,Fri,0,Call,46,5
122,Fri,1,Call,27,5
123,Fri,2,Call,14,5
124,Fri,3,Call,10,5
125,Fri,4,Call,13,5
126,Fri,5,Call,37,5
127,Fri,6,Call,250,5
128,Fri,7,Call,1787,5
129,Fri,8,Call,7242,5
130,Fri,9,Call,8931,5
131,Fri,10,Call,9053,5
132,Fri,11,Call,8668,5
133,Fri,12,Call,7934,5
134,Fri,13,Call,7948,5
135,Fri,14,Call,7635,5
136,Fri,15,Call,8564,5
137,Fri,16,Call,6314,5
138,Fri,17,Call,1981,5
139,Fri,18,Call,759,5
140,Fri,19,Call,461,5
141,Fri,20,Call,181,5
142,Fri,21,Call,88,5
143,Fri,22,Call,71,5
144,Fri,23,Call,42,5
145,Sat,0,Call,25,6
146,Sat,1,Call,10,6
147,Sat,2,Call,14,6
148,Sat,3,Call,4,6
149,Sat,4,Call,3,6
150,Sat,5,Call,9,6
151,Sat,6,Call,74,6
152,Sat,7,Call,436,6
153,Sat,8,Call,2244,6
154,Sat,9,Call,3289,6
155,Sat,10,Call,3704,6
156,Sat,11,Call,3724,6
157,Sat,12,Call,3353,6
158,Sat,13,Call,3048,6
159,Sat,14,Call,2904,6
160,Sat,15,Call,2731,6
161,Sat,16,Call,1799,6
162,Sat,17,Call,560,6
163,Sat,18,Call,394,6
164,Sat,19,Call,282,6
165,Sat,20,Call,181,6
166,Sat,21,Call,100,6
167,Sat,22,Call,61,6
168,Sat,23,Call,50,6