"","RequestType","total.income","race","count"
"1","Bulky Items",2870,"White",4
"2","Bulky Items",3309,"White",2
"3","Bulky Items",11618,"White",2
"4","Bulky Items",12156,"Hispanic",495
"5","Bulky Items",12324,"Hispanic",267
"6","Bulky Items",12679,"Hispanic",4230
"7","Bulky Items",14416,"AfricanAmerican",307
"8","Bulky Items",15022,"Hispanic",5807
"9","Bulky Items",15239,"Hispanic",13517
"10","Bulky Items",15325,"Asian",1824
"11","Bulky Items",15333,"Hispanic",11469
"12","Bulky Items",15440,"Hispanic",10146
"13","Bulky Items",15495,"Hispanic",4390
"14","Bulky Items",15507,"Hispanic",3358
"15","Bulky Items",15632,"Hispanic",1375
"16","Bulky Items",15653,"Hispanic",6726
"17","Bulky Items",15871,"Hispanic",5851
"18","Bulky Items",15932,"Hispanic",2698
"19","Bulky Items",15997,"Hispanic",3382
"20","Bulky Items",16128,"Hispanic",6226
"21","Bulky Items",16295,"Hispanic",1312
"22","Bulky Items",16537,"Hispanic",11644
"23","Bulky Items",16659,"Hispanic",3325
"24","Bulky Items",16956,"White",2785
"25","Bulky Items",16970,"Hispanic",2278
"26","Bulky Items",17075,"White",1
"27","Bulky Items",17163,"Hispanic",4111
"28","Bulky Items",17239,"Hispanic",9255
"29","Bulky Items",17269,"White",274
"30","Bulky Items",17312,"Hispanic",1529
"31","Bulky Items",18407,"Hispanic",7300
"32","Bulky Items",18537,"Hispanic",9001
"33","Bulky Items",18783,"Hispanic",8039
"34","Bulky Items",18932,"Hispanic",15688
"35","Bulky Items",19067,"Hispanic",7719
"36","Bulky Items",19103,"Hispanic",8161
"37","Bulky Items",19309,"Hispanic",7561
"38","Bulky Items",20122,"Hispanic",8825
"39","Bulky Items",20135,"Hispanic",5249
"40","Bulky Items",20210,"Hispanic",6925
"41","Bulky Items",20336,"Hispanic",2
"42","Bulky Items",20356,"Hispanic",10
"43","Bulky Items",20401,"Hispanic",6364
"44","Bulky Items",20468,"Hispanic",1764
"45","Bulky Items",20820,"Hispanic",9721
"46","Bulky Items",21075,"AfricanAmerican",8123
"47","Bulky Items",21211,"AfricanAmerican",8154
"48","Bulky Items",21227,"Asian",4172
"49","Bulky Items",21259,"White",4625
"50","Bulky Items",21532,"Hispanic",10621
"51","Bulky Items",22045,"Hispanic",7359
"52","Bulky Items",22228,"AfricanAmerican",5832
"53","Bulky Items",22309,"Hispanic",6162
"54","Bulky Items",22418,"Hispanic",11015
"55","Bulky Items",22518,"Hispanic",8073
"56","Bulky Items",22638,"Hispanic",8410
"57","Bulky Items",22834,"Hispanic",9968
"58","Bulky Items",22865,"Hispanic",12402
"59","Bulky Items",22981,"Hispanic",1141
"60","Bulky Items",22996,"Hispanic",3816
"61","Bulky Items",23083,"Hispanic",11794
"62","Bulky Items",23466,"Hispanic",3327
"63","Bulky Items",23575,"Hispanic",6609
"64","Bulky Items",23971,"Asian",1
"65","Bulky Items",24545,"Hispanic",2025
"66","Bulky Items",24941,"Hispanic",9600
"67","Bulky Items",25827,"Hispanic",5596
"68","Bulky Items",25904,"Hispanic",3405
"69","Bulky Items",25933,"Hispanic",6855
"70","Bulky Items",26105,"Hispanic",4742
"71","Bulky Items",26337,"Hispanic",672
"72","Bulky Items",26415,"White",4798
"73","Bulky Items",26438,"Hispanic",3144
"74","Bulky Items",27088,"Hispanic",2371
"75","Bulky Items",27546,"White",6856
"76","Bulky Items",28266,"Hispanic",12
"77","Bulky Items",28625,"White",100
"78","Bulky Items",29086,"White",3862
"79","Bulky Items",30460,"White",4534
"80","Bulky Items",31003,"White",7022
"81","Bulky Items",31613,"White",3656
"82","Bulky Items",31675,"Asian",188
"83","Bulky Items",31713,"AfricanAmerican",4
"84","Bulky Items",32432,"White",4845
"85","Bulky Items",33629,"White",8078
"86","Bulky Items",33730,"White",457
"87","Bulky Items",33953,"White",3069
"88","Bulky Items",34831,"Hispanic",5627
"89","Bulky Items",35026,"White",3
"90","Bulky Items",35388,"White",1205
"91","Bulky Items",35633,"White",3129
"92","Bulky Items",36258,"White",6967
"93","Bulky Items",37156,"White",4413
"94","Bulky Items",37776,"White",4540
"95","Bulky Items",38518,"White",4644
"96","Bulky Items",39311,"White",2391
"97","Bulky Items",39509,"White",2310
"98","Bulky Items",39664,"White",3856
"99","Bulky Items",40243,"White",94
"100","Bulky Items",40362,"White",3359
"101","Bulky Items",40631,"White",4917
"102","Bulky Items",42001,"White",212
"103","Bulky Items",42578,"White",51
"104","Bulky Items",42628,"White",2902
"105","Bulky Items",42940,"White",3670
"106","Bulky Items",42963,"White",2729
"107","Bulky Items",43672,"White",3806
"108","Bulky Items",44136,"White",3
"109","Bulky Items",44314,"White",3874
"110","Bulky Items",44717,"AfricanAmerican",135
"111","Bulky Items",44887,"White",3826
"112","Bulky Items",45249,"White",1
"113","Bulky Items",47068,"White",4792
"114","Bulky Items",48321,"White",559
"115","Bulky Items",48605,"White",2462
"116","Bulky Items",50272,"White",3604
"117","Bulky Items",50613,"White",4
"118","Bulky Items",51183,"White",567
"119","Bulky Items",53286,"White",3192
"120","Bulky Items",53564,"White",3
"121","Bulky Items",53733,"White",983
"122","Bulky Items",60115,"White",5
"123","Bulky Items",61464,"White",1501
"124","Bulky Items",61485,"White",2569
"125","Bulky Items",63516,"White",965
"126","Bulky Items",63733,"White",8
"127","Bulky Items",64156,"White",125
"128","Bulky Items",66707,"White",127
"129","Bulky Items",69602,"White",1979
"130","Bulky Items",75404,"White",706
"131","Dead Animal Removal",2870,"White",1
"132","Dead Animal Removal",3309,"White",2
"133","Dead Animal Removal",12156,"Hispanic",68
"134","Dead Animal Removal",12324,"Hispanic",57
"135","Dead Animal Removal",12679,"Hispanic",247
"136","Dead Animal Removal",14416,"AfricanAmerican",31
"137","Dead Animal Removal",15022,"Hispanic",360
"138","Dead Animal Removal",15239,"Hispanic",1108
"139","Dead Animal Removal",15325,"Asian",138
"140","Dead Animal Removal",15333,"Hispanic",993
"141","Dead Animal Removal",15440,"Hispanic",669
"142","Dead Animal Removal",15495,"Hispanic",523
"143","Dead Animal Removal",15507,"Hispanic",372
"144","Dead Animal Removal",15632,"Hispanic",39
"145","Dead Animal Removal",15653,"Hispanic",491
"146","Dead Animal Removal",15871,"Hispanic",296
"147","Dead Animal Removal",15932,"Hispanic",280
"148","Dead Animal Removal",15997,"Hispanic",92
"149","Dead Animal Removal",16128,"Hispanic",278
"150","Dead Animal Removal",16295,"Hispanic",179
"151","Dead Animal Removal",16537,"Hispanic",846
"152","Dead Animal Removal",16659,"Hispanic",296
"153","Dead Animal Removal",16956,"White",119
"154","Dead Animal Removal",16970,"Hispanic",150
"155","Dead Animal Removal",17075,"White",1
"156","Dead Animal Removal",17110,"Hispanic",2
"157","Dead Animal Removal",17163,"Hispanic",83
"158","Dead Animal Removal",17239,"Hispanic",571
"159","Dead Animal Removal",17269,"White",26
"160","Dead Animal Removal",17312,"Hispanic",95
"161","Dead Animal Removal",18407,"Hispanic",193
"162","Dead Animal Removal",18537,"Hispanic",394
"163","Dead Animal Removal",18783,"Hispanic",489
"164","Dead Animal Removal",18932,"Hispanic",1046
"165","Dead Animal Removal",19067,"Hispanic",455
"166","Dead Animal Removal",19103,"Hispanic",396
"167","Dead Animal Removal",19309,"Hispanic",403
"168","Dead Animal Removal",20122,"Hispanic",537
"169","Dead Animal Removal",20135,"Hispanic",95
"170","Dead Animal Removal",20210,"Hispanic",285
"171","Dead Animal Removal",20401,"Hispanic",466
"172","Dead Animal Removal",20468,"Hispanic",149
"173","Dead Animal Removal",20820,"Hispanic",256
"174","Dead Animal Removal",21075,"AfricanAmerican",492
"175","Dead Animal Removal",21211,"AfricanAmerican",757
"176","Dead Animal Removal",21227,"Asian",75
"177","Dead Animal Removal",21259,"White",92
"178","Dead Animal Removal",21384,"White",1
"179","Dead Animal Removal",21532,"Hispanic",498
"180","Dead Animal Removal",22045,"Hispanic",458
"181","Dead Animal Removal",22228,"AfricanAmerican",344
"182","Dead Animal Removal",22309,"Hispanic",404
"183","Dead Animal Removal",22418,"Hispanic",454
"184","Dead Animal Removal",22518,"Hispanic",552
"185","Dead Animal Removal",22638,"Hispanic",391
"186","Dead Animal Removal",22834,"Hispanic",625
"187","Dead Animal Removal",22865,"Hispanic",456
"188","Dead Animal Removal",22981,"Hispanic",69
"189","Dead Animal Removal",22996,"Hispanic",150
"190","Dead Animal Removal",23083,"Hispanic",831
"191","Dead Animal Removal",23466,"Hispanic",136
"192","Dead Animal Removal",23575,"Hispanic",369
"193","Dead Animal Removal",23578,"AfricanAmerican",1
"194","Dead Animal Removal",23971,"Asian",2
"195","Dead Animal Removal",24545,"Hispanic",147
"196","Dead Animal Removal",24941,"Hispanic",550
"197","Dead Animal Removal",25827,"Hispanic",346
"198","Dead Animal Removal",25904,"Hispanic",303
"199","Dead Animal Removal",25933,"Hispanic",233
"200","Dead Animal Removal",26105,"Hispanic",230
"201","Dead Animal Removal",26337,"Hispanic",53
"202","Dead Animal Removal",26415,"White",162
"203","Dead Animal Removal",26438,"Hispanic",269
"204","Dead Animal Removal",27088,"Hispanic",100
"205","Dead Animal Removal",27546,"White",277
"206","Dead Animal Removal",28266,"Hispanic",9
"207","Dead Animal Removal",28625,"White",12
"208","Dead Animal Removal",29086,"White",280
"209","Dead Animal Removal",30460,"White",246
"210","Dead Animal Removal",31003,"White",488
"211","Dead Animal Removal",31613,"White",223
"212","Dead Animal Removal",31675,"Asian",18
"213","Dead Animal Removal",31713,"AfricanAmerican",7
"214","Dead Animal Removal",32432,"White",376
"215","Dead Animal Removal",33629,"White",273
"216","Dead Animal Removal",33730,"White",7
"217","Dead Animal Removal",33953,"White",169
"218","Dead Animal Removal",34831,"Hispanic",319
"219","Dead Animal Removal",35026,"White",2
"220","Dead Animal Removal",35388,"White",75
"221","Dead Animal Removal",35633,"White",194
"222","Dead Animal Removal",36258,"White",316
"223","Dead Animal Removal",37156,"White",338
"224","Dead Animal Removal",37776,"White",243
"225","Dead Animal Removal",38518,"White",183
"226","Dead Animal Removal",39311,"White",120
"227","Dead Animal Removal",39509,"White",192
"228","Dead Animal Removal",39664,"White",221
"229","Dead Animal Removal",40243,"White",10
"230","Dead Animal Removal",40362,"White",216
"231","Dead Animal Removal",40631,"White",156
"232","Dead Animal Removal",42001,"White",8
"233","Dead Animal Removal",42578,"White",4
"234","Dead Animal Removal",42628,"White",165
"235","Dead Animal Removal",42940,"White",235
"236","Dead Animal Removal",42963,"White",149
"237","Dead Animal Removal",43672,"White",235
"238","Dead Animal Removal",44136,"White",1
"239","Dead Animal Removal",44314,"White",331
"240","Dead Animal Removal",44717,"AfricanAmerican",11
"241","Dead Animal Removal",44887,"White",230
"242","Dead Animal Removal",47068,"White",174
"243","Dead Animal Removal",48321,"White",57
"244","Dead Animal Removal",48605,"White",119
"245","Dead Animal Removal",49150,"White",2
"246","Dead Animal Removal",50272,"White",151
"247","Dead Animal Removal",50613,"White",1
"248","Dead Animal Removal",51183,"White",22
"249","Dead Animal Removal",53286,"White",194
"250","Dead Animal Removal",53564,"White",6
"251","Dead Animal Removal",53733,"White",72
"252","Dead Animal Removal",61464,"White",124
"253","Dead Animal Removal",61485,"White",196
"254","Dead Animal Removal",63516,"White",50
"255","Dead Animal Removal",63733,"White",1
"256","Dead Animal Removal",64156,"White",17
"257","Dead Animal Removal",66707,"White",48
"258","Dead Animal Removal",69602,"White",136
"259","Dead Animal Removal",75404,"White",55
"260","Electronic Waste",12156,"Hispanic",13
"261","Electronic Waste",12324,"Hispanic",16
"262","Electronic Waste",12679,"Hispanic",334
"263","Electronic Waste",14416,"AfricanAmerican",9
"264","Electronic Waste",15022,"Hispanic",675
"265","Electronic Waste",15239,"Hispanic",1238
"266","Electronic Waste",15325,"Asian",208
"267","Electronic Waste",15333,"Hispanic",1066
"268","Electronic Waste",15440,"Hispanic",890
"269","Electronic Waste",15495,"Hispanic",470
"270","Electronic Waste",15507,"Hispanic",410
"271","Electronic Waste",15632,"Hispanic",167
"272","Electronic Waste",15653,"Hispanic",559
"273","Electronic Waste",15871,"Hispanic",614
"274","Electronic Waste",15932,"Hispanic",237
"275","Electronic Waste",15997,"Hispanic",360
"276","Electronic Waste",16128,"Hispanic",628
"277","Electronic Waste",16295,"Hispanic",130
"278","Electronic Waste",16537,"Hispanic",948
"279","Electronic Waste",16659,"Hispanic",374
"280","Electronic Waste",16956,"White",181
"281","Electronic Waste",16970,"Hispanic",254
"282","Electronic Waste",17163,"Hispanic",343
"283","Electronic Waste",17239,"Hispanic",775
"284","Electronic Waste",17269,"White",11
"285","Electronic Waste",17312,"Hispanic",126
"286","Electronic Waste",18407,"Hispanic",621
"287","Electronic Waste",18537,"Hispanic",1039
"288","Electronic Waste",18783,"Hispanic",925
"289","Electronic Waste",18932,"Hispanic",2036
"290","Electronic Waste",19067,"Hispanic",835
"291","Electronic Waste",19103,"Hispanic",759
"292","Electronic Waste",19309,"Hispanic",769
"293","Electronic Waste",20122,"Hispanic",719
"294","Electronic Waste",20135,"Hispanic",400
"295","Electronic Waste",20210,"Hispanic",692
"296","Electronic Waste",20356,"Hispanic",1
"297","Electronic Waste",20401,"Hispanic",805
"298","Electronic Waste",20468,"Hispanic",263
"299","Electronic Waste",20820,"Hispanic",797
"300","Electronic Waste",21075,"AfricanAmerican",730
"301","Electronic Waste",21211,"AfricanAmerican",789
"302","Electronic Waste",21227,"Asian",331
"303","Electronic Waste",21259,"White",279
"304","Electronic Waste",21532,"Hispanic",876
"305","Electronic Waste",22045,"Hispanic",853
"306","Electronic Waste",22228,"AfricanAmerican",598
"307","Electronic Waste",22309,"Hispanic",707
"308","Electronic Waste",22418,"Hispanic",1129
"309","Electronic Waste",22518,"Hispanic",842
"310","Electronic Waste",22638,"Hispanic",945
"311","Electronic Waste",22834,"Hispanic",1149
"312","Electronic Waste",22865,"Hispanic",1109
"313","Electronic Waste",22981,"Hispanic",96
"314","Electronic Waste",22996,"Hispanic",410
"315","Electronic Waste",23083,"Hispanic",1608
"316","Electronic Waste",23466,"Hispanic",395
"317","Electronic Waste",23575,"Hispanic",651
"318","Electronic Waste",24545,"Hispanic",185
"319","Electronic Waste",24941,"Hispanic",1009
"320","Electronic Waste",25827,"Hispanic",596
"321","Electronic Waste",25904,"Hispanic",383
"322","Electronic Waste",25933,"Hispanic",638
"323","Electronic Waste",26105,"Hispanic",514
"324","Electronic Waste",26337,"Hispanic",88
"325","Electronic Waste",26415,"White",433
"326","Electronic Waste",26438,"Hispanic",393
"327","Electronic Waste",27088,"Hispanic",263
"328","Electronic Waste",27546,"White",518
"329","Electronic Waste",28625,"White",7
"330","Electronic Waste",29086,"White",398
"331","Electronic Waste",30460,"White",392
"332","Electronic Waste",31003,"White",694
"333","Electronic Waste",31613,"White",371
"334","Electronic Waste",31675,"Asian",9
"335","Electronic Waste",32432,"White",563
"336","Electronic Waste",33629,"White",594
"337","Electronic Waste",33730,"White",69
"338","Electronic Waste",33953,"White",313
"339","Electronic Waste",34831,"Hispanic",493
"340","Electronic Waste",35388,"White",121
"341","Electronic Waste",35633,"White",317
"342","Electronic Waste",36258,"White",542
"343","Electronic Waste",37156,"White",333
"344","Electronic Waste",37776,"White",381
"345","Electronic Waste",38518,"White",355
"346","Electronic Waste",39311,"White",192
"347","Electronic Waste",39509,"White",254
"348","Electronic Waste",39664,"White",465
"349","Electronic Waste",40243,"White",10
"350","Electronic Waste",40362,"White",389
"351","Electronic Waste",40631,"White",379
"352","Electronic Waste",42001,"White",13
"353","Electronic Waste",42578,"White",6
"354","Electronic Waste",42628,"White",285
"355","Electronic Waste",42940,"White",284
"356","Electronic Waste",42963,"White",214
"357","Electronic Waste",43672,"White",351
"358","Electronic Waste",44314,"White",446
"359","Electronic Waste",44717,"AfricanAmerican",14
"360","Electronic Waste",44887,"White",251
"361","Electronic Waste",47068,"White",240
"362","Electronic Waste",48321,"White",80
"363","Electronic Waste",48605,"White",167
"364","Electronic Waste",50272,"White",289
"365","Electronic Waste",51183,"White",43
"366","Electronic Waste",53286,"White",310
"367","Electronic Waste",53733,"White",72
"368","Electronic Waste",60115,"White",1
"369","Electronic Waste",61464,"White",186
"370","Electronic Waste",61485,"White",225
"371","Electronic Waste",63516,"White",79
"372","Electronic Waste",64156,"White",21
"373","Electronic Waste",66707,"White",7
"374","Electronic Waste",69602,"White",186
"375","Electronic Waste",75404,"White",89
"376","Feedback",12156,"Hispanic",6
"377","Feedback",12679,"Hispanic",10
"378","Feedback",14416,"AfricanAmerican",3
"379","Feedback",15022,"Hispanic",13
"380","Feedback",15239,"Hispanic",8
"381","Feedback",15325,"Asian",13
"382","Feedback",15333,"Hispanic",10
"383","Feedback",15440,"Hispanic",13
"384","Feedback",15495,"Hispanic",2
"385","Feedback",15507,"Hispanic",7
"386","Feedback",15632,"Hispanic",1
"387","Feedback",15653,"Hispanic",7
"388","Feedback",15871,"Hispanic",11
"389","Feedback",15932,"Hispanic",3
"390","Feedback",15997,"Hispanic",5
"391","Feedback",16128,"Hispanic",3
"392","Feedback",16295,"Hispanic",1
"393","Feedback",16537,"Hispanic",5
"394","Feedback",16659,"Hispanic",2
"395","Feedback",16956,"White",5
"396","Feedback",16970,"Hispanic",1
"397","Feedback",17163,"Hispanic",11
"398","Feedback",17239,"Hispanic",14
"399","Feedback",17269,"White",3
"400","Feedback",17312,"Hispanic",2
"401","Feedback",18407,"Hispanic",9
"402","Feedback",18537,"Hispanic",8
"403","Feedback",18783,"Hispanic",12
"404","Feedback",18932,"Hispanic",12
"405","Feedback",19067,"Hispanic",10
"406","Feedback",19103,"Hispanic",10
"407","Feedback",19309,"Hispanic",22
"408","Feedback",20122,"Hispanic",16
"409","Feedback",20135,"Hispanic",13
"410","Feedback",20210,"Hispanic",6
"411","Feedback",20401,"Hispanic",10
"412","Feedback",20468,"Hispanic",2
"413","Feedback",20820,"Hispanic",51
"414","Feedback",21075,"AfricanAmerican",3
"415","Feedback",21211,"AfricanAmerican",5
"416","Feedback",21227,"Asian",20
"417","Feedback",21259,"White",5
"418","Feedback",21532,"Hispanic",18
"419","Feedback",22045,"Hispanic",8
"420","Feedback",22228,"AfricanAmerican",8
"421","Feedback",22309,"Hispanic",8
"422","Feedback",22418,"Hispanic",22
"423","Feedback",22518,"Hispanic",9
"424","Feedback",22638,"Hispanic",15
"425","Feedback",22834,"Hispanic",16
"426","Feedback",22865,"Hispanic",28
"427","Feedback",22996,"Hispanic",2
"428","Feedback",23083,"Hispanic",9
"429","Feedback",23466,"Hispanic",5
"430","Feedback",23575,"Hispanic",5
"431","Feedback",24941,"Hispanic",12
"432","Feedback",25827,"Hispanic",6
"433","Feedback",25904,"Hispanic",7
"434","Feedback",25933,"Hispanic",13
"435","Feedback",26105,"Hispanic",13
"436","Feedback",26337,"Hispanic",3
"437","Feedback",26415,"White",3
"438","Feedback",26438,"Hispanic",3
"439","Feedback",27088,"Hispanic",2
"440","Feedback",27546,"White",10
"441","Feedback",29086,"White",8
"442","Feedback",30460,"White",5
"443","Feedback",31003,"White",5
"444","Feedback",31613,"White",6
"445","Feedback",31675,"Asian",3
"446","Feedback",32432,"White",8
"447","Feedback",33629,"White",12
"448","Feedback",33953,"White",3
"449","Feedback",34831,"Hispanic",15
"450","Feedback",35388,"White",1
"451","Feedback",35633,"White",6
"452","Feedback",36258,"White",10
"453","Feedback",37156,"White",4
"454","Feedback",37776,"White",10
"455","Feedback",38518,"White",4
"456","Feedback",39311,"White",6
"457","Feedback",39509,"White",6
"458","Feedback",39664,"White",7
"459","Feedback",40362,"White",3
"460","Feedback",40631,"White",9
"461","Feedback",42628,"White",1
"462","Feedback",42940,"White",10
"463","Feedback",42963,"White",5
"464","Feedback",43672,"White",11
"465","Feedback",44314,"White",5
"466","Feedback",44887,"White",6
"467","Feedback",47068,"White",8
"468","Feedback",48321,"White",1
"469","Feedback",48605,"White",5
"470","Feedback",50272,"White",5
"471","Feedback",53286,"White",5
"472","Feedback",61464,"White",1
"473","Feedback",61485,"White",8
"474","Feedback",63516,"White",3
"475","Feedback",64156,"White",2
"476","Feedback",69602,"White",4
"477","Feedback",75404,"White",1
"478","Graffiti Removal",2870,"White",12
"479","Graffiti Removal",3309,"White",8
"480","Graffiti Removal",12156,"Hispanic",6720
"481","Graffiti Removal",12324,"Hispanic",1749
"482","Graffiti Removal",12679,"Hispanic",8034
"483","Graffiti Removal",14416,"AfricanAmerican",1874
"484","Graffiti Removal",15022,"Hispanic",9792
"485","Graffiti Removal",15239,"Hispanic",17555
"486","Graffiti Removal",15325,"Asian",4464
"487","Graffiti Removal",15333,"Hispanic",9495
"488","Graffiti Removal",15440,"Hispanic",11575
"489","Graffiti Removal",15495,"Hispanic",4394
"490","Graffiti Removal",15507,"Hispanic",1374
"491","Graffiti Removal",15632,"Hispanic",3110
"492","Graffiti Removal",15653,"Hispanic",1692
"493","Graffiti Removal",15871,"Hispanic",3372
"494","Graffiti Removal",15932,"Hispanic",2028
"495","Graffiti Removal",15997,"Hispanic",5071
"496","Graffiti Removal",16128,"Hispanic",6725
"497","Graffiti Removal",16295,"Hispanic",1812
"498","Graffiti Removal",16537,"Hispanic",5840
"499","Graffiti Removal",16659,"Hispanic",7154
"500","Graffiti Removal",16956,"White",47
"501","Graffiti Removal",16970,"Hispanic",2148
"502","Graffiti Removal",17163,"Hispanic",2059
"503","Graffiti Removal",17239,"Hispanic",4981
"504","Graffiti Removal",17269,"White",423
"505","Graffiti Removal",17312,"Hispanic",5164
"506","Graffiti Removal",18407,"Hispanic",5387
"507","Graffiti Removal",18537,"Hispanic",2528
"508","Graffiti Removal",18783,"Hispanic",3881
"509","Graffiti Removal",18932,"Hispanic",3572
"510","Graffiti Removal",19067,"Hispanic",8801
"511","Graffiti Removal",19103,"Hispanic",2826
"512","Graffiti Removal",19309,"Hispanic",2720
"513","Graffiti Removal",20122,"Hispanic",3735
"514","Graffiti Removal",20135,"Hispanic",3352
"515","Graffiti Removal",20210,"Hispanic",3070
"516","Graffiti Removal",20356,"Hispanic",10
